segment2_code,erp_cutover_date,entity_name,notes
0002,2024-05-31,Placeholder,Only known cutover for now
3300,2024-10-31,Placeholder,---
3400,2024-10-31,---,---
3700,2025-01-31,---,---
3600,2025-01-31,---,---
3500,2025-01-31,---,---
0107,2025-03-31,Midwest Switchgear,---
0109,2025-09-30,PST,-
0110,2025-09-30,PST,-
0111,2025-09-30,PST,-
0112,2025-09-30,PST,-
3100,2025-10-31,Tram,-
0004,2025-10-31,B&B,-
3200,2026-02-28,Demaria,-
0401,2028-01-31,Houghton,-
4300,2028-01-31,Sanford,-
3900,2026-09-30,Swiger,-
0005,2028-01-31,MDL,-
0003,2028-01-31,Dual,-
2900,2028-01-31,ENA,-
0007,2028-01-31,CFM,-
0006,2026-07-31,Switchgear,-
8693,2028-01-31,ABB Buf US,-
8694,2028-01-31,ABB Buf CAD,-
4000,2024-09-30,Calgary,-
4100,2024-09-30,Ft Mac,-
4200,2024-09-30,Edmonton,-
5900,2022-08-31,Beloeil,-
5800,2022-07-31,Kingston,-
5700,2022-07-31,Hydro,-
7200,2021-09-30,Clifton,-
6500,2022-04-30,Billings,-
0001,2022-05-31,NSG,-
0100,2022-05-31,NFS,-
0101,2022-05-31,NFS,-
0102,2022-05-31,NFS,-
0103,2022-05-31,NFS,-
0104,2022-05-31,NFS,-
0099,2022-05-31,NFS,-
6000,2022-11-30,Reed Reno,-
6100,2022-11-30,Reed LA,-
6200,2023-03-31,IEM Carson,-
6300,2023-03-31,IEM Visalia,-
6400,2023-03-31,IEM Longview,-
4400,2024-04-30,Lighthouse,-
